avage fps:0.2544675876140175, frame: 1, fps: 0.2544675876140175
avage fps:3.54017272827259, frame: 2, fps: 6.825877868931162
avage fps:9.205399119482117, frame: 3, fps: 20.535851901901168
avage fps:11.564552824179927, frame: 4, fps: 18.64201393827336
avage fps:12.55658592020597, frame: 5, fps: 16.52471830431014
avage fps:13.20110693724318, frame: 6, fps: 16.423712022429232
avage fps:13.539410309179923, frame: 7, fps: 15.56923054080038
avage fps:13.748734919196497, frame: 8, fps: 15.214007189312518
avage fps:13.807314878666643, frame: 9, fps: 14.275954554427813
avage fps:13.793545331132538, frame: 10, fps: 13.669619403325576
avage fps:13.640875583440875, frame: 11, fps: 12.114178106524257
avage fps:13.506534459422431, frame: 12, fps: 12.028782095219523
avage fps:13.324628647946668, frame: 13, fps: 11.14175891023751
avage fps:13.176893813190654, frame: 14, fps: 11.256340961362472
avage fps:13.032752356332908, frame: 15, fps: 11.014771960324484
avage fps:12.837275444205495, frame: 16, fps: 9.905121762294307
avage fps:12.633070882104812, frame: 17, fps: 9.3657978884939
avage fps:12.36932751201552, frame: 18, fps: 7.8856902204975485
avage fps:12.117056776373987, frame: 19, fps: 7.5761835348264235
avage fps:11.96544265009739, frame: 20, fps: 9.084774250842024
avage fps:11.848190966460484, frame: 21, fps: 9.503157293722344
avage fps:11.570808977420334, frame: 22, fps: 5.745787207577204
avage fps:11.41608064490738, frame: 23, fps: 8.012057329622406
avage fps:11.268758806599967, frame: 24, fps: 7.880356525529453
avage fps:11.122485186493538, frame: 25, fps: 7.611918303939254
avage fps:11.016087142985677, frame: 26, fps: 8.356136055289147
avage fps:10.7949172036106, frame: 27, fps: 5.0444987798585865
avage fps:10.579012582411949, frame: 28, fps: 4.749587810048376
avage fps:10.312715810182244, frame: 29, fps: 2.856406187750488
avage fps:10.059653722269543, frame: 30, fps: 2.720853172801225
avage fps:9.86359414769962, frame: 31, fps: 3.981806910601908
avage fps:9.712465885882386, frame: 32, fps: 5.027489769548134
avage fps:9.599250767864772, frame: 33, fps: 5.976366991301126
avage fps:9.468415741989311, frame: 34, fps: 5.150859888099109
avage fps:9.351447748701752, frame: 35, fps: 5.374535976924743
avage fps:9.221924917355217, frame: 36, fps: 4.688625820226478
avage fps:9.103402008234315, frame: 37, fps: 4.8365772798819195
avage fps:9.007384271139925, frame: 38, fps: 5.4547279986474715
avage fps:8.924970253137895, frame: 39, fps: 5.793237569060773
avage fps:8.814200567921468, frame: 40, fps: 4.494182844480828
avage fps:8.709897684806062, frame: 41, fps: 4.53778236018985
avage fps:8.601151922257383, frame: 42, fps: 4.142575657761531
avage fps:8.520703312427782, frame: 43, fps: 5.141861699584537
avage fps:8.431036262944312, frame: 44, fps: 4.575353135155124
avage fps:8.336183904192993, frame: 45, fps: 4.162680119134932
avage fps:8.243294763361208, frame: 46, fps: 4.06328342593086
avage fps:8.149561340526724, frame: 47, fps: 3.837823890140417
avage fps:8.071500315739518, frame: 48, fps: 4.402632150740909
avage fps:8.003579134429279, frame: 49, fps: 4.743362431537794
avage fps:7.930178185874132, frame: 50, fps: 4.333531706671956
avage fps:7.8556634509071985, frame: 51, fps: 4.129926702560487
avage fps:7.787927909503078, frame: 52, fps: 4.33341529789296
avage fps:7.73631058308497, frame: 53, fps: 5.052209609343381
avage fps:7.6680343212142885, frame: 54, fps: 4.049392442068149
avage fps:7.608233974318018, frame: 55, fps: 4.379015241919403
avage fps:7.529717419438287, frame: 56, fps: 3.211306901053131
avage fps:7.47476509104727, frame: 57, fps: 4.397434701150233
avage fps:7.406871539618392, frame: 58, fps: 3.536939108172402
avage fps:7.338289291960259, frame: 59, fps: 3.3605189277885317
avage fps:7.271995901593541, frame: 60, fps: 3.360685869957133
avage fps:7.203029289899779, frame: 61, fps: 3.065032588274067
avage fps:7.10949209562606, frame: 62, fps: 1.4037232449292751
avage fps:7.012035795258851, frame: 63, fps: 0.9697451724918448
avage fps:6.922055970681837, frame: 64, fps: 1.2533270223299555
avage fps:6.822982772707161, frame: 65, fps: 0.48229810232786835
avage fps:6.729996418873972, frame: 66, fps: 0.6858834197166561
avage fps:6.64032154509745, frame: 67, fps: 0.7217798758470275
avage fps:6.555750568441894, frame: 68, fps: 0.8894951325196548
avage fps:6.490056027711681, frame: 69, fps: 2.022827258057204
avage fps:6.412268233803327, frame: 70, fps: 1.0449104541269227
avage fps:6.330186721094707, frame: 71, fps: 0.5844808314912281
avage fps:6.252438873576289, frame: 72, fps: 0.7323416997686498
avage fps:6.1774499204757385, frame: 73, fps: 0.7782452972360564
avage fps:6.122418718984627, frame: 74, fps: 2.1051410101334564
avage fps:6.133097804998399, frame: 75, fps: 6.923350170017497
avage fps:6.074752201847585, frame: 76, fps: 1.6988319655365434
avage fps:6.052729525177053, frame: 77, fps: 4.379006098216681
avage fps:6.200290289203762, frame: 78, fps: 17.56246911926037
avage fps:6.400158398484945, frame: 79, fps: 21.989870922417136
